45 GB	40 GB	35 GB	30 GB	
150.4	214.4	139.2	94.4	
144	216	139.2	94.4	
140.8	214.4	140.8	92.8	
136	214.4	142.4	92.8	
129.6	214.4	144	92.8	
128	216	144	92.8	
124.8	216	148.8	92.8	
124.8	217.6	144	92.8	
123.2	217.6	140.8	92.8	
124.8	220.8	137.6	94.4	
126.4	225.6	134.4	94.4	
124.8	230.4	136	94.4	
126.4	230.4	132.8	92.8	
124.8	230.4	132.8	92.8	
118.4	230.4	131.2	92.8	
113.6	230.4	136	92.8	
115.2	232	134.4	92.8	
115.2	232	134.4	92.8	
108.8	232	134.4	91.2	
102.4	233.6	132.8	91.2	
96	235.2	132.8	91.2	
94.4	233.6	137.6	91.2	
89.6	235.2	137.6	92.8	
86.4	235.2	145.6	92.8	
84.8	235.2	145.6	92.8	
83.2	235.2	147.2	92.8	
83.2	235.2	147.2	92.8	
83.2	235.2	155.2	91.2	
86.4	235.2	161.6	91.2	
86.4	238.4	168	91.2	
84.8	236.8	172.8	91.2	
86.4	235.2	171.2	91.2	
84.8	228.8	172.8	92.8	
84.8	220.8	179.2	92.8	
83.2	212.8	180.8	92.8	
84.8	209.6	174.4	92.8	
83.2	201.6	172.8	92.8	
83.2	198.4	171.2	92.8	
84.8	190.4	172.8	94.4	
83.2	185.6	172.8	92.8	
84.8	176	174.4	92.8	
84.8	171.2	177.6	92.8	
84.8	164.8	177.6	92.8	
86.4	156.8	169.6	92.8	
84.8	148.8	172.8	92.8	
84.8	140.8	174.4	91.2	
86.4	132.8	176	91.2	
84.8	124.8	174.4	92.8	
83.2	118.4	176	92.8	
81.6	110.4	176	92.8	
83.2	102.4	176	92.8	
83.2	97.6	180.8	92.8	
84.8	96	179.2	92.8	
84.8	97.6	174.4	92.8	
84.8	96	171.2	92.8	
84.8	92.8	174.4	92.8	
86.4	92.8	176	92.8	
84.8	88	174.4	92.8	
84.8	88	169.6	92.8	
84.8	88	171.2	92.8	
84.8	89.6	171.2	92.8	
86.4	88	169.6	92.8	
86.4	86.4	168	92.8	
84.8	86.4	176	92.8	
86.4	88	177.6	92.8	
86.4	86.4	180.8	94.4	
84.8	88	180.8	94.4	
86.4	88	180.8	92.8	
84.8	86.4	177.6	92.8	
86.4	86.4	172.8	92.8	
86.4	86.4	172.8	92.8	
84.8	86.4	172.8	92.8	
?	86.4	174.4	92.8	
?	84.8	180.8	91.2	
?	86.4	187.2	91.2	
?	86.4	188.8	91.2	
?	86.4	190.4	91.2	
?	86.4	196.8	91.2	
?	86.4	198.4	91.2	
?	84.8	201.6	92.8	
?	84.8	198.4	92.8	
?	83.2	196.8	91.2	
?	84.8	196.8	91.2	
?	84.8	195.2	91.2	
?	83.2	196.8	91.2	
?	84.8	195.2	91.2	
?	84.8	196.8	91.2	
?	83.2	196.8	92.8	
?	84.8	196.8	92.8	
?	84.8	195.2	92.8	
?	86.4	190.4	92.8	
?	84.8	187.2	92.8	
?	83.2	187.2	92.8	
?	84.8	184	94.4	
?	84.8	184	94.4	
?	84.8	184	92.8	
?	83.2	182.4	92.8	
?	84.8	182.4	92.8	
?	84.8	184	92.8	
