09/07/2015 (24 CPU)
  
%usr %sys %iowait
0.29 0.50 3.72
0.50 0.58 3.68
0.33 0.71 3.68
0.38 0.75 3.63
0.33 0.46 3.68
0.46 0.63 3.76
0.50 0.34 3.60
0.54 0.54 3.51
0.58 0.63 3.47
0.42 0.59 3.55
0.46 0.63 3.67
0.50 0.67 3.63
0.54 0.63 3.63
0.58 0.63 3.63
0.38 0.67 3.64
0.38 0.50 3.81
0.42 0.58 3.68
0.38 0.54 3.68
0.42 0.63 3.67
0.38 0.54 3.64
0.25 0.71 3.84
0.42 0.58 3.72
0.33 0.54 3.72
0.38 0.42 3.68
0.50 0.42 3.63
0.46 0.71 3.38
0.29 0.50 3.31
0.42 0.63 3.30
0.46 0.50 3.34
0.38 0.54 3.59
0.46 0.54 3.80
0.42 0.46 3.63
0.42 0.42 3.72
0.46 0.58 3.67
0.33 0.63 3.67
0.38 0.63 3.76
0.42 0.75 3.33
0.38 0.59 3.26
0.38 0.54 3.38
0.42 0.67 3.59
0.38 0.58 3.72
0.33 0.50 3.72
0.33 0.38 3.68
0.33 0.54 3.68
0.33 0.67 3.63
0.29 0.58 3.68
0.25 0.59 3.68
0.29 0.50 3.72
0.42 0.54 3.72
0.42 0.46 3.63
0.38 0.58 3.76
0.33 0.46 3.72
0.42 0.42 3.72
0.33 0.46 3.68
0.29 0.54 3.72
0.33 0.54 3.80
0.29 0.50 3.68
0.25 0.54 3.76
0.29 0.46 3.72
0.46 0.58 3.71
0.29 0.42 3.81
0.42 0.63 3.67
0.29 0.42 3.72
0.33 0.58 3.68
0.33 0.42 3.72
0.29 0.50 3.89
0.46 0.54 3.68
0.46 0.50 3.71
0.33 0.54 3.63
0.54 0.54 3.71
0.33 0.50 3.80
0.33 0.46 3.72
0.42 0.50 3.71
0.75 0.59 3.72
0.25 0.50 3.72
0.46 0.67 3.50
0.38 0.63 3.34
0.29 0.63 3.38
0.33 0.50 3.39
0.38 0.58 3.51
0.29 0.50 3.84
0.29 0.54 3.68
0.29 0.42 3.72
0.25 0.63 3.72
0.42 0.42 3.72
0.38 0.50 3.84
0.33 0.46 3.72
0.50 0.42 3.71
0.25 0.63 3.51
0.25 0.46 3.73
0.46 0.50 3.80
0.25 0.46 3.68
0.29 0.46 3.68
0.33 0.50 3.64
0.33 0.58 3.67
0.50 0.46 3.67
0.42 0.50 3.67
0.29 0.50 3.68
0.29 0.58 3.67
0.33 0.46 3.72
0.33 0.67 3.79
0.25 0.54 3.68
0.38 0.46 3.68
0.29 0.67 3.67
0.29 0.54 3.68
0.29 0.50 3.80
0.25 0.58 3.76
0.33 0.46 3.72
0.29 0.50 3.68
0.46 0.62 3.71
0.25 0.59 3.80
0.25 0.63 3.71
0.29 0.63 3.71
0.25 0.58 3.72
0.29 0.50 3.72
0.13 1.25 3.13
0.38 0.50 3.71
0.33 0.50 3.72
0.29 0.50 3.72
0.29 0.58 3.71
0.29 0.54 3.76
0.42 1.04 3.05
0.21 0.38 3.68
1.09 0.38 2.55
4.33 0.04 0.00
0.63 0.00 0.13
